 7.46833 seconds
         7592052 function calls (7589898 primitive calls) in 7.624 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       68    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      115    0.000    0.000    0.000    0.000 _make.py:1352(<genexpr>)
       47    0.000    0.000    0.000    0.000 re.py:270(escape)
       33    0.000    0.000    0.000    0.000 sre_parse.py:295(_class_escape)
        1    0.000    0.000    0.000    0.000 argparse.py:162(HelpFormatter)
        1    0.000    0.000    0.144    0.144 __init__.py:2(<module>)
      128    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1400(<genexpr>)
       21    0.000    0.000    0.000    0.000 enum.py:478(_get_mixins_)
       26    0.000    0.000    0.000    0.000 _make.py:644(add_repr)
      115    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:964(get_filename)
      120    0.000    0.000    0.000    0.000 opcode.py:39(def_op)
        1    0.000    0.000    0.017    0.017 nodes.py:1(<module>)
       21    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
      115    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:774(create_module)
      104    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
       36    0.000    0.000    0.001    0.000 _make.py:489(build_class)
       83    0.000    0.000    0.000    0.000 {method 'count' of 'list' objects}
        1    0.000    0.000    0.002    0.002 ntpath.py:2(<module>)
       21    0.000    0.000    0.000    0.000 enum.py:489(_find_data_type)
       81    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
      115    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        1    0.000    0.000    0.017    0.017 util.py:1(<module>)
      118    0.000    0.000    0.000    0.000 _make.py:471(<genexpr>)
        1    0.000    0.000    0.001    0.001 __init__.py:821(Config)
        1    0.000    0.000    0.024    0.024 metadata.py:1(<module>)
       16    0.000    0.000    0.000    0.000 typing.py:736(__mro_entries__)
       54    0.000    0.000    0.000    0.000 posixpath.py:41(_get_sep)
       38    0.000    0.000    0.001    0.000 typing.py:1435(_alias)
       42    0.000    0.000    0.000    0.000 sre_parse.py:96(closegroup)
        7    0.000    0.000    0.000    0.000 typing.py:1060(__init_subclass__)
        1    0.000    0.000    0.070    0.070 warning_types.py:1(<module>)
       22    0.000    0.000    0.000    0.000 hooks.py:38(setattr_hookspec_opts)
       98    0.000    0.000    0.000    0.000 _make.py:1454(_is_slot_attr)
        1    0.000    0.000    0.002    0.002 signal.py:1(<module>)
        1    0.000    0.000    0.001    0.001 reports.py:1(<module>)
        1    0.000    0.000    0.005    0.005 subprocess.py:732(__init__)
       84    0.000    0.000    0.000    0.000 abc.py:7(abstractmethod)
        1    0.000    0.000    0.007    0.007 subprocess.py:448(run)
        1    0.000    0.000    0.003    0.003 python_api.py:1(<module>)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
        1    0.000    0.000    0.001    0.001 recwarn.py:1(<module>)
       82    0.000    0.000    0.000    0.000 _make.py:360(<lambda>)
       15    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
       73    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1520(path_hook_for_FileFinder)
       42    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
       15    0.000    0.000    0.001    0.000 _make.py:667(add_hash)
        1    0.000    0.000    0.004    0.004 validators.py:1(<module>)
        1    0.000    0.000    0.000    0.000 opcode.py:37(<listcomp>)
       11    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
       26    0.000    0.000    0.000    0.000 matrix.py:344(frobenius_norm)
        1    0.000    0.000    0.000    0.000 ast.py:1(<module>)
        1    0.000    0.000    0.000    0.000 compat.py:227(<dictcomp>)
        2    0.000    0.000    0.000    0.000 {method 'close' of '_io.TextIOWrapper' objects}
       61    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
        1    0.000    0.000    0.001    0.001 outcomes.py:1(<module>)
        1    0.000    0.000    0.001    0.001 local.py:1(<module>)
    16/12    0.000    0.000    0.002    0.000 apipkg.py:133(__makeattr)
        1    0.000    0.000    0.002    0.002 bz2.py:1(<module>)
       25    0.000    0.000    0.000    0.000 _make.py:1207(_make_order)
       41    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        3    0.000    0.000    0.000    0.000 pathlib.py:63(parse_parts)
        1    0.000    0.000    0.002    0.002 subprocess.py:980(communicate)
       87    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        2    0.000    0.000    0.000    0.000 contextlib.py:429(callback)
       36    0.000    0.000    0.000    0.000 _make.py:285(_get_annotations)
       42    0.000    0.000    0.000    0.000 enum.py:562(__new__)
        1    0.000    0.000    0.005    0.005 configparser.py:1(<module>)
       11    0.000    0.000    0.000    0.000 functools.py:525(decorating_function)
       47    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       19    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
       46    0.000    0.000    0.000    0.000 typing.py:886(<genexpr>)
       15    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:746(create_module)
       83    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
       57    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
       69    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.000    0.000 pprint.py:103(PrettyPrinter)
        1    0.000    0.000    0.147    0.147 svd.py:1(<module>)
        1    0.000    0.000    0.002    0.002 expression.py:1(<module>)
